API,sanitized,total,san/total,2*san/total,san^2/total,san^3/total
milestone->del,1,6,0.16,0.33,0.16,0.16
customer->del,1,6,0.16,0.33,0.16,0.16
get_background_image,1,7,0.14,0.28,0.14,0.14
t_command->execute,1,7,0.14,0.28,0.14,0.14
confirm_box,1,7,0.14,0.28,0.14,0.14
bug_get,2,60,0.03,0.06,0.06,0.13
this->get_instance_schema,1,8,0.125,0.25,0.125,0.125
auth_get_current_user_id,2,84,0.023,0.046,0.046,0.092
this->getVar,3,277,0.01,0.02,0.03,0.09
icms_core_DataFilter::icms_substr,1,12,0.08,0.16,0.08,0.08
icms::handler,3,336,0.008,0.017,0.026,0.08
maybe_unserialize,1,13,0.07,0.15,0.07,0.07
is_subdomain_install,1,14,0.07,0.14,0.07,0.07
t_section_search->add_item,1,17,0.05,0.11,0.05,0.05
customer->edit,1,18,0.05,0.11,0.05,0.05
roleobj->assign,1,38,0.026,0.052,0.026,0.026
get_comment,1,42,0.02,0.04,0.02,0.02
filter_get_bug_rows,1,130,0.007,0.15,0.007,0.007
string_display_line,1,180,0.005,0.01,0.005,0.005
icms_core_DataFilter::stripSlashesGPC,1,454,0.002,0.004,0.002,0.002
lang->sprintf,4,176495,0,0,0,0.001
my_strtolower,1,1494,0.0006,0.0013,0.0006,0.0006
